,Favo,PN,RT,date,text
254129,0,3,0,2017-10-21,バーナンキさんはBitcoinは政府が規制してゴミになるって言ってたけど、その兆しは全然見えない。
702438,0,3,0,2018-03-12,ふとビットコインどうなったのかなと思ったら、まだ100万円あたりうろうろしてた。やはりそこらへんを一つの壁として支える人がいるのだろうか。
686965,0,2,0,2018-03-03,"Bitcoinトランザクション状況 HashRateは「3,635,766,627,703 KH/s」 NetworkDiffは「3,007,383,866,429」 未確認取引数は「5,244 件」 だよ # bitcoin # ethereum # cryptocurrency # 仮想通貨"
85520,0,3,0,2017-05-13,12:00~13:00のBitcoin市場は上げ一服でした。 直近の市場の平均Bitcoinの価格は193239.0円 変化率は1.094% 14:00までは反騰かな? 【AIコメントです:テスト中@パターンB】 # bitcoin # AI
703535,0,2,0,2018-03-13,そういえば確定申告もうすぐ締切ですね。 あれは1日遅れただけで5%ぐらい追加で持っていかれたりするので、実質年率1800%！ ビットコイン売ったりした人は申告遅れないでね。 日付を改竄してくれるようなお友達がいれば良かったのかもね。
802810,1,2,0,2018-05-29,ビットコイン、反発してるのね 帰ったらちゃんとチャート見よ
246123,1,3,0,2017-10-14,「C2Cとしての流動性のクリティカルマス」を超えるトラストレスシステムを立ち上げるのは時間がかかりすぎるのに対してBitcoinの成長が早すぎるので、スケーラビリティや利便性が追いついていない部分が多々あり、そこに企業が入っていくのはわかる
255351,0,3,0,2017-10-21,ビットコイン上がってる割に円建てでアルトそこまで下げてない。強度上がってるやない
684838,1,2,0,2018-03-01,2018/03/01 09:30 # BTC 1078682.5円 # ETH 88940円 # ETC 3452.4円 # BCH 125120.8円 # XRP 92.6円 # XEM 40.7円 # LSK 1873.5円 # MONA 582.4円 # 仮想通貨 # ビットコイン # Bitcoin # bitFlyer # Coincheck
175129,0,1,0,2017-08-20,「ビットコイン」女性遺棄事件…。デジタル時代だけど、やってることは短絡的。 # nhk
397512,13,1,0,2017-12-11,ビットコインで有り金溶かした人の顔
166598,0,2,0,2017-08-14,昨日のビットコイン過去最高更新のニュースをうけて今日明日、入金の新規が増える。 それをわかってる大口はどこかで売りに入り一度ビットコインの値段が下がる。 という予想をしてみた！ あってますか？ どうですか?
642631,1,3,0,2018-02-10,リスクも好材料ありますね〜 # LSK # 暗号通貨 # 仮想通貨 # QASH # ビットコインキャッシュ # ビットコイン # リップル # XRP # ripple
787232,3,1,0,2018-05-15,株取引のみで仮想通貨はなんとなく怖くて手を出してなかった。 けどkazmaxさんのツイート見てたらこれは機会損失のリスクかと思い始めた…。とりあえずＢＩＴ－Z登録。あ、まずbitcoin手に入れなあかんのか…。出遅れ感半端ない
429274,0,3,0,2017-12-19,さすが、ハブ通貨であるビットコインは底堅いな。アルトコインは一気に底抜けそう。
155613,7,2,0,2017-08-06,確かに生の方が気持ちいいかもしれないけど避妊はした方がいいぞ！！(マジレス)
497642,1,3,0,2018-01-07,ハードディスクにBitcoinで書いてあるだけであって、中身が入っているなんて一切書いてないしやり方はうまいと思う。ただ、今ならRippleの方が釣れるんじゃね？
394343,14,1,1,2017-12-10,BCHは、期待とは逆の動きをし続けていますね。。 ただ、こんな荒れ相場のときは動かずじっとしているのが一番。 嵐の夜は、家の外に出かけずにじっとお家でテレビ見てた方がいいでしょう。
820,0,1,0,2016-01-09,ビットコインなどの暗号通貨ですが，一般には“仮想通貨”という名前で呼ばれているので，自分のブログでも仮想通貨という単語を使用しています．自分程度でもいいので，ビットコインの知識が少しでもあればこんな詐欺に引っかかることはないだろうに…
157480,0,4,0,2017-08-07,ビットコインのレート見たら一気に上がってる。 自分はもう放置でしかないけど、どれだけ資産増えるか見ものだね。
571656,0,2,0,2018-01-23,長期保有銘柄として保有してますとか言いまくってたのに、ビットコイン下がったら即フィアット逃げしてる人いて笑う。やっすい長期保有やなw 皆さんもインフルエンサー()の言うことはあまり鵜呑みにしないほうがいいですよ。結局自分のお金。全部ただのポジショントークですよ。
448709,0,0,0,2017-12-22,# 仮想通貨 の # ビットコイン が価値が下落の急落か…。ちなみに仮想通貨って総称だって事はその程度は把握している、けどね。
668133,1,3,0,2018-02-21,"そうそう 大体1万円ちょっとで1億4千万枚買えるコイン（1枚0.0001円くらい） PCの計算能力貸出で報酬に貰ってる分を交換してるだけだから、日本円は全く入れてないんだけどね ビットコインも初手0,7円とかが今200万円なんで、ワンチャンはある（ぇ"
606985,0,2,0,2018-01-30,コインチェックに5000兆Bitcoinあったはずと言いはる事件
