,sum,Price
2016-01-01,-0.40279392847920337,52048.0
2016-01-02,-0.3944302158420312,51802.0
2016-01-03,-0.37812269044249,51489.0
2016-01-04,-0.38842693249807386,51392.0
2016-01-05,-0.3689303738990272,52249.0
2016-01-06,-0.4025138870847352,51422.0
2016-01-07,-0.3661262724717979,54350.0
2016-01-08,-0.3884814855979357,53926.0
2016-01-09,-0.3905955741499338,52789.0
2016-01-10,-0.3668913431955185,52145.0
2016-01-11,-0.3742110500649054,52739.0
2016-01-12,-0.3801055329305446,50981.0
2016-01-13,-0.3823804537982268,50175.0
2016-01-14,-0.3831430482594864,50042.0
2016-01-15,-0.3368042959976605,47352.0
2016-01-16,-0.3942321941715271,45893.0
2016-01-17,-0.3496348468051591,45933.0
2016-01-18,-0.3592287890591353,45976.0
2016-01-19,-0.3985112728669925,44565.0
2016-01-20,-0.3690432973411239,49500.0
2016-01-21,-0.3854058565560351,50980.0
2016-01-22,-0.39044911781926506,45175.0
2016-01-23,-0.3496239611999923,44893.0
2016-01-24,-0.3892780686693337,47101.0
2016-01-25,-0.2257315051162383,44882.0
2016-01-26,-0.3678440003569297,46351.0
2016-01-27,-0.38742978244087306,46729.0
2016-01-28,-0.3370329461405829,44839.0
2016-01-29,-0.3840108111552584,45248.0
2016-01-30,-0.3872297236184837,46694.0
2016-01-31,-0.34287272070151353,44144.0
2016-02-01,-0.4083210775388033,45385.0
2016-02-02,-0.40433394648806104,43289.0
2016-02-03,-0.3832138171636904,42800.0
2016-02-04,-0.3757749917991745,46953.0
2016-02-05,-0.4081627353898892,44929.0
2016-02-06,-0.3902289588289775,43585.0
2016-02-07,-0.40000133535696536,43472.0
2016-02-08,-0.3829729676262396,42816.0
2016-02-09,-0.39730147580551584,43051.0
2016-02-10,-0.3752924390869731,43135.0
2016-02-11,-0.3957312320894123,42431.0
2016-02-12,-0.4088724182597563,42968.0
2016-02-13,-0.3741809119035471,43892.0
2016-02-14,-0.3838467967516168,45356.0
2016-02-15,-0.3907417357310802,45709.0
2016-02-16,-0.3796312015119539,46907.0
2016-02-17,-0.3870257378009409,47248.0
2016-02-18,-0.4024213700959871,47070.0
2016-02-19,-0.3907321009697869,47164.0
2016-02-20,-0.3243157213060329,49082.0
2016-02-21,-0.3474167413836196,48758.0
2016-02-22,-0.3982495343631287,49101.0
2016-02-23,-0.3663084454146754,46590.0
2016-02-24,-0.4260938617361589,47251.0
2016-02-25,-0.3898598184848213,47850.0
2016-02-26,-0.3773553521727955,48881.0
2016-02-27,-0.37381603854685697,48471.0
2016-02-28,-0.3912232906497405,49261.0
2016-02-29,-0.3755592511678858,49612.0
2016-03-01,-0.30551096653423826,48970.0
2016-03-02,-0.3608001993401567,47986.0
2016-03-03,-0.39494694468356345,46623.0
2016-03-04,-0.4087388268073359,46890.0
2016-03-05,-0.4013569665896381,45283.0
2016-03-06,-0.371448455289829,45941.0
2016-03-07,-0.398853863962836,46347.0
2016-03-08,-0.3814355587189062,46219.0
2016-03-09,-0.3617048107565457,47749.0
2016-03-10,-0.386025938346016,45648.0
