,sum,Price
2016-01-01,-0.4002287603063195,52048.0
2016-01-02,-0.43001231990999256,51802.0
2016-01-03,-0.3881409312698413,51489.0
2016-01-04,-0.3919850108161005,51392.0
2016-01-05,-0.4050449441086885,52249.0
2016-01-06,-0.3997833468266545,51422.0
2016-01-07,-0.4073978227305504,54350.0
2016-01-08,-0.4395193656897557,53926.0
2016-01-09,-0.4329663181153531,52789.0
2016-01-10,-0.4875420380952381,52145.0
2016-01-11,-0.41551044315495694,52739.0
2016-01-12,-0.3634181307749767,50981.0
2016-01-13,-0.42894569609131294,50175.0
2016-01-14,-0.4195536738329156,50042.0
2016-01-15,-0.3640802622489828,47352.0
2016-01-16,-0.4043556203851835,45893.0
2016-01-17,-0.42229370044973547,45933.0
2016-01-18,-0.3061047487706075,45976.0
2016-01-19,-0.3684499594544624,44565.0
2016-01-20,-0.3817525330537349,49500.0
2016-01-21,-0.4039095433648057,50980.0
2016-01-22,-0.4080134861224272,45175.0
2016-01-23,-0.2932886018397436,44893.0
2016-01-24,-0.4759501644842645,47101.0
2016-01-25,-0.20417158346851852,44882.0
2016-01-26,-0.3924695997465765,46351.0
2016-01-27,-0.3814813628008744,46729.0
2016-01-28,-0.3355390887405983,44839.0
2016-01-29,-0.3841728589873852,45248.0
2016-01-30,-0.41917152987400097,46694.0
2016-01-31,-0.3659745870674424,44144.0
2016-02-01,-0.4009510730230423,45385.0
2016-02-02,-0.4202176848856408,43289.0
2016-02-03,-0.37193222437823614,42800.0
2016-02-04,-0.3661688680015224,46953.0
2016-02-05,-0.4390912376089501,44929.0
2016-02-06,-0.3063098757400688,43585.0
2016-02-07,-0.3332146890798289,43472.0
2016-02-08,-0.4078954727714453,42816.0
2016-02-09,-0.3660064648656898,43051.0
2016-02-10,-0.3620295071461039,43135.0
2016-02-11,-0.4059217506041911,42431.0
2016-02-12,-0.39197839834135,42968.0
2016-02-13,-0.4603548171826866,43892.0
2016-02-14,-0.3835723600250839,45356.0
2016-02-15,-0.41853164806896,45709.0
2016-02-16,-0.3216038808224954,46907.0
2016-02-17,-0.4269347797018501,47248.0
2016-02-18,-0.4315300538271005,47070.0
2016-02-19,-0.4346163990964021,47164.0
2016-02-20,-0.3113603131605696,49082.0
2016-02-21,-0.3681021365075803,48758.0
2016-02-22,-0.3899655902066122,49101.0
2016-02-23,-0.4565777882853258,46590.0
2016-02-24,-0.4270256163847831,47251.0
2016-02-25,-0.3990118910803094,47850.0
2016-02-26,-0.4036189343584177,48881.0
2016-02-27,-0.43872511005720943,48471.0
2016-02-28,-0.3985653008257021,49261.0
2016-02-29,-0.4066767364908346,49612.0
2016-03-01,-0.3760704899355247,48970.0
2016-03-02,-0.4116896202262124,47986.0
2016-03-03,-0.41545325955225065,46623.0
2016-03-04,-0.4092155220520475,46890.0
2016-03-05,-0.4065599804250491,45283.0
2016-03-06,-0.39224165280578827,45941.0
2016-03-07,-0.41675312453684255,46347.0
2016-03-08,-0.39858818550484415,46219.0
2016-03-09,-0.3963683485431273,47749.0
2016-03-10,-0.3566420728377179,45648.0
2016-03-11,-0.44253352385676015,47411.0
2016-03-12,-0.3384693797610279,47062.0
2016-03-13,-0.3790177747331426,47497.0
2016-03-14,-0.4664813214316497,46868.0
2016-03-15,-0.3775743729894565,47939.0
2016-03-16,-0.3905583730911834,46553.0
2016-03-17,-0.3862370380211454,47034.0
2016-03-18,-0.4168635183328085,45542.0
2016-03-19,-0.3639459236084654,45275.0
2016-03-20,-0.3614854836045756,45849.0
2016-03-21,-0.3857830295886399,46975.0
2016-03-22,-0.3632957649539936,47744.0
2016-03-23,-0.3818535536223043,46995.0
2016-03-24,-0.4017173968449337,46482.0
2016-03-25,-0.4106154385486645,46886.0
2016-03-26,-0.4416782241595569,46669.0
2016-03-27,-0.43281582297713983,48148.0
2016-03-28,-0.3782083220254909,47617.0
2016-03-29,-0.3707696950204278,46735.0
2016-03-30,-0.429628179062789,46847.0
2016-03-31,-0.32731095040716635,46484.0
2016-04-01,-0.37990970940821256,47748.0
2016-04-02,-0.35412014944725284,48070.0
2016-04-03,-0.3035682904507238,46919.0
2016-04-04,-0.4321014428951737,44808.0
2016-04-05,-0.3396305846909962,46419.0
2016-04-06,-0.4525560415760301,46856.0
2016-04-07,-0.4466890481059759,46882.0
2016-04-08,-0.3955024609112924,45534.0
2016-04-09,-0.3882215400165889,45113.0
2016-04-10,-0.4007167178319817,45522.0
2016-04-11,-0.3911881991744757,45563.0
2016-04-12,-0.4137487272677366,0.0
2016-04-13,-0.3904882757902051,44974.0
2016-04-14,-0.4040305829690952,45801.0
2016-04-15,-0.3934179951680316,46406.0
2016-04-16,-0.39591393956131293,46874.0
2016-04-17,-0.4113867828903149,46279.0
2016-04-18,-0.38485307605447067,46450.0
2016-04-19,-0.39720324961843706,46691.0
2016-04-20,-0.3610145610305858,47402.0
2016-04-21,-0.4260017122420677,50656.0
2016-04-22,-0.3864690052950417,49895.0
2016-04-23,-0.3869713738143073,49804.0
2016-04-24,-0.3584809221445911,51588.0
2016-04-25,-0.35784393550695753,49029.0
2016-04-26,-0.3610032658533646,51683.0
2016-04-27,-0.37314647770741777,49020.0
2016-04-28,-0.3850211939740448,48604.0
2016-04-29,-0.4279531917128999,48099.0
2016-04-30,-0.4119551179482434,48115.0
2016-05-01,-0.4350140757642248,47618.0
2016-05-02,-0.4001638958245529,47159.0
2016-05-03,-0.381058868488026,47504.0
2016-05-04,-0.3948120530228471,47824.0
2016-05-05,-0.4192091215296187,48137.0
2016-05-06,-0.3815898496867259,49192.0
2016-05-07,-0.4175618953171365,49845.0
2016-05-08,-0.4048529315129425,44494.0
2016-05-09,-0.3038410185398318,49347.0
2016-05-10,-0.3195817806931227,49830.0
2016-05-11,-0.3422475198775531,49292.0
2016-05-12,-0.3708767068405704,47623.0
